"Date(UTC)","UnixTimeStamp","Value"
"6/27/2021","1624752000","3112365097542882870625"
"6/28/2021","1624838400","3716342559460488114362"
"6/29/2021","1624924800","3746319133764548192658"
"6/30/2021","1625011200","3924430746325481063112"
"7/1/2021","1625097600","3407959219322601414871"
"7/2/2021","1625184000","4198235602109594146458"
"7/3/2021","1625270400","3362837875347461716038"
"7/4/2021","1625356800","4311819089027226642463"
"7/5/2021","1625443200","4806641015845556118000"
"7/6/2021","1625529600","5242093129472746710400"
"7/7/2021","1625616000","5332256394471227580947"
"7/8/2021","1625702400","4047221154940322395068"
"7/9/2021","1625788800","4337177033682485328329"
"7/10/2021","1625875200","4034502409337834692600"
"7/11/2021","1625961600","3326193252844297602369"
"7/12/2021","1626048000","4429334028914639861645"
"7/13/2021","1626134400","3971696050705420476797"
"7/14/2021","1626220800","5051702612275844561581"
"7/15/2021","1626307200","3797121775438319674600"
"7/16/2021","1626393600","3394775013736398381506"
"7/17/2021","1626480000","3374686107935535817939"
"7/18/2021","1626566400","3713222820214811819310"
"7/19/2021","1626652800","5233746870461610056748"
"7/20/2021","1626739200","4901196263863116680885"
"7/21/2021","1626825600","4871081506939535003310"
"7/22/2021","1626912000","6275898306155205250425"
"7/23/2021","1626998400","7292974645359076396016"
"7/24/2021","1627084800","7603792182774036848897"
"7/25/2021","1627171200","7655819121174771946689"
"7/26/2021","1627257600","9611883850543235813177"
"7/27/2021","1627344000","10496241402436867467488"
"7/28/2021","1627430400","11903169716995520186695"
"7/29/2021","1627516800","11883299793705122024344"
"7/30/2021","1627603200","9474832108492409662333"
"7/31/2021","1627689600","8971714219409396290968"
"8/1/2021","1627776000","9216309553593894910979"
"8/2/2021","1627862400","8474944904178535758101"
"8/3/2021","1627948800","8100971238947987672755"
"8/4/2021","1628035200","7968966296245846713818"
"8/5/2021","1628121600","7405586489544553676699"
"8/6/2021","1628208000","7324323671123817643178"
"8/7/2021","1628294400","7211507031647172750277"
"8/8/2021","1628380800","7119898317205647878838"
"8/9/2021","1628467200","7185069097214299722651"
"8/10/2021","1628553600","7531438507844582470618"
"8/11/2021","1628640000","8995429316608236588052"
"8/12/2021","1628726400","7344659940146605127307"
"8/13/2021","1628812800","6349126207127858548204"
"8/14/2021","1628899200","5322961675375380916158"
"8/15/2021","1628985600","6118273753488333588757"
"8/16/2021","1629072000","6702282769766854170226"
"8/17/2021","1629158400","6247012261692205511818"
"8/18/2021","1629244800","6329806456664959027659"
"8/19/2021","1629331200","7236614693919097977338"
"8/20/2021","1629417600","6976809279981371473850"
"8/21/2021","1629504000","7196830569962455530044"
"8/22/2021","1629590400","6120732328043351308924"
"8/23/2021","1629676800","5356572213330451876553"
"8/24/2021","1629763200","4606394429369891571555"
"8/25/2021","1629849600","4817471180393527255267"
"8/26/2021","1629936000","5084374286097100578446"
"8/27/2021","1630022400","5823194652102844217203"
"8/28/2021","1630108800","7148657931354221020373"
"8/29/2021","1630195200","6192364432408359908955"
"8/30/2021","1630281600","6574960241636140032846"
"8/31/2021","1630368000","7213736543000372715456"
"9/1/2021","1630454400","6789383998975695872498"
"9/2/2021","1630540800","6834125000733009273710"
"9/3/2021","1630627200","6956731163541521296702"
"9/4/2021","1630713600","6705280165875884316256"
"9/5/2021","1630800000","5735675979292796254052"
"9/6/2021","1630886400","6014589804725224705267"
"9/7/2021","1630972800","6415987890595799549720"
"9/8/2021","1631059200","5211204272819751134191"
"9/9/2021","1631145600","5227937903503611808970"
"9/10/2021","1631232000","4693601057209915248475"
"9/11/2021","1631318400","3691182515380484404091"
"9/12/2021","1631404800","4161410378848907235210"
"9/13/2021","1631491200","4150566009017219895440"
"9/14/2021","1631577600","4540843842265442596603"
"9/15/2021","1631664000","4319500289486308361365"
"9/16/2021","1631750400","4948399526461025695493"
"9/17/2021","1631836800","4370886623630431260916"
"9/18/2021","1631923200","4615970884994903023551"
"9/19/2021","1632009600","4346861810981141756233"
"9/20/2021","1632096000","4799113006300654141234"
"9/21/2021","1632182400","4895635008554114763230"
"9/22/2021","1632268800","4525966418778979966790"
"9/23/2021","1632355200","4890845661264773874383"
"9/24/2021","1632441600","4479141104281886294771"
"9/25/2021","1632528000","3776549447305876528751"
"9/26/2021","1632614400","3938232754159945232521"
"9/27/2021","1632700800","4373173160610162451636"
"9/28/2021","1632787200","4149012647550973631643"
"9/29/2021","1632873600","4420276689146452167756"
"9/30/2021","1632960000","4987522229534845339441"
"10/1/2021","1633046400","4584026737422415216498"
"10/2/2021","1633132800","4616178181116640904412"
"10/3/2021","1633219200","4535391250530715080697"
"10/4/2021","1633305600","4784566979564016398980"
"10/5/2021","1633392000","5062122217194943758717"
"10/6/2021","1633478400","5327022818371322468730"
"10/7/2021","1633564800","6335884227786884630661"
"10/8/2021","1633651200","5406726405149067751209"
"10/9/2021","1633737600","5118170408583806644922"
